company,ticker,asset_type,owner_code,date,type,amount
SPDR S&P 500 (SPY) [ST],,,,03/20/2023,P,1001 - $15000
Fallon Family Farm [RP],,,,03/15/2023,S,1000001
ML - INVESTMENT ⇒,,,,06/16/2023,S,15001 - $50000
USAA - SEP IRA ⇒,,,,12/13/2023,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/13/2023,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/13/2023,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/13/2023,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/13/2023,P,1001 - $15000
WF - Investment - 3 ⇒,,,,10/16/2023,P,1000001
Columbia Income Opp 529 PRT AG FBO DC2 [5F] DC,,,,08/18/2023,S,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC2 [5F] DC,,,,12/14/2023,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 740 JT,,,,07/10/2023,S,15001 - $50000
DSL Living Trust ⇒ Fidelity Investments Brokerage Account ⇒ JT,,,,09/13/2023,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,05/12/2023,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/29/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/29/2023,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/29/2023,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/26/2023,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/15/2023,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/29/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/21/2023,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/27/2023,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/30/2023,P,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/12/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/22/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/28/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,05/24/2023,P,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/21/2023,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,08/22/2023,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,08/29/2023,S,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,12/28/2023,P,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,12/28/2023,P,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,10/18/2023,P,1001 - $15000
J Street Condo [RP],,,,11/29/2021,S,250001
"Rivian Automotive, Inc. - Class A (RIVN) [ST]",,,,12/23/2021,S,1001 - $15000
"Rivian Automotive, Inc. - Class A (RIVN) [ST]",,,,12/14/2021,P,1001 - $15000
"Tesla, Inc. (TSLA) [ST]",,,,11/12/2021,P,1001 - $15000
"Tesla, Inc. (TSLA) [ST]",,,,11/12/2021,S,1001 - $15000
"Tesla, Inc. (TSLA) [ST]",,,,11/16/2021,S,1001 - $15000
"Tesla, Inc. (TSLA) [ST]",,,,12/29/2021,S,1001 - $15000
Alphabet Inc. - Class C Capital Stock (GOOG) [ST],,,,10/25/2022,P,1001 - $15000
"Amazon.com, Inc. (AMZN) [ST]",,,,10/25/2022,P,1001 - $15000
Apple Inc. (AAPL) [ST],,,,10/25/2022,P,1001 - $15000
Boeing Company (BA) [ST],,,,01/20/2022,S,1001 - $15000
Direxion Financial Bull 3X Shares (FAS) [ST],,,,01/10/2022,S,15001 - $50000
Direxion Financial Bull 3X Shares (FAS) [ST],,,,10/25/2022,P,1001 - $15000
"Hertz Global Holdings, Inc - Warrant (HTZWW) [ST]",,,,01/20/2022,S,1001 - $15000
iShares Core S&P Total U.S. Stock Market ETF (ITOT) [EF],,,,02/23/2022,S,1001 - $15000
"Meta Platforms, Inc. - Class A (META) [ST]",,,,10/25/2022,P,1001 - $15000
Southwest Airlines Company (LUV) [ST],,,,01/20/2022,S,1001 - $15000
SPDR S&P 500 (SPY) [ST],,,,01/26/2022,S,1001 - $15000
United States Oil Fund (USO) [ST],,,,10/25/2022,P,1001 - $15000
"Wynn Resorts, Limited (WYNN) [ST]",,,,10/25/2022,P,1001 - $15000
Alliance Bernstein Holding L.P. Units,,OL,SP,12/28/2022,S,500001
AllianceBernstein Holding L.P. Units,AB,OL,SP,01/27/2022,P,250001
Alphabet Inc. - Class A,GOOGL,ST,SP,12/20/2022,S,500001
Alphabet Inc. - Class A,GOOGL,ST,SP,12/21/2022,S,500001
Alphabet Inc. - Class A,GOOGL,ST,SP,12/28/2022,S,500001
Alphabet Inc. - Class C Capital Stock,GOOG,ST,SP,09/16/2022,P,1000001
American Express Company,AXP,ST,SP,01/21/2022,P,250001
Apple Inc.,AAPL,ST,SP,01/21/2022,P,1000001
Apple Inc.,AAPL,OP,SP,05/13/2022,P,500001
Apple Inc.,AAPL,OP,SP,05/24/2022,P,250001
Apple Inc.,AAPL,OP,SP,06/17/2022,S,100001
"Micron Technology, Inc.",MU,OP,SP,09/16/2022,S,15001 - $50000
Microsoft Corporation,MSFT,OP,SP,05/24/2022,P,50001
Microsoft Corporation,MSFT,OP,SP,05/24/2022,P,250001
"Netflix, Inc.",NFLX,ST,SP,12/29/2022,S,250001
"Netflix, Inc.",NFLX,ST,SP,12/30/2022,S,250001
NVIDIA Corporation,NVDA,ST,SP,06/17/2022,P,1000001
NVIDIA Corporation,NVDA,ST,SP,07/26/2022,S,1000001
NVIDIA Corporation,NVDA,OP,SP,09/16/2022,S,100001
"PayPal Holdings, Inc.",PYPL,ST,SP,01/21/2022,P,500001
"PayPal Holdings, Inc.",PYPL,ST,SP,12/21/2022,S,250001
"PayPal Holdings, Inc.",PYPL,ST,SP,12/28/2022,S,250001
"REOF XX, LLC",,AB,SP,08/24/2022,P,15001 - $50000
"REOF XX, LLC",,AB,SP,12/27/2022,P,15001 - $50000
Roblox Corporation Class A,RBLX,ST,SP,12/28/2022,S,100001
"Salesforce, Inc.",CRM,OP,SP,12/20/2022,S,9
"Tesla, Inc.",TSLA,ST,SP,03/17/2022,P,1000001
"Tesla, Inc.",TSLA,ST,SP,12/20/2022,S,500001
Visa Inc.,V,ST,SP,06/21/2022,S,1000001
Walt Disney Company,DIS,ST,SP,01/21/2022,P,1000001
Walt Disney Company,DIS,OP,SP,09/16/2022,S,1
Walt Disney Company,DIS,ST,SP,12/21/2022,S,500001
"Warner Bros. Discovery, Inc. - Series A",WBD,ST,SP,04/11/2022,E,50001
"Twitter, Inc. (TWTR) [ST]",,,,01/19/2022,P,15001 - $50000
"Twitter, Inc. (TWTR) [ST]",,,,01/24/2022,P,50001
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/21/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/21/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/19/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/23/2022,P,1001 - $15000
WF - Investment - 1 ⇒,,,,10/31/2022,S,50001
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,07/15/2022,P,1001 - $15000
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,07/15/2022,P,1001 - $15000
ARW Subtrust ⇒ Fidelity Investments ARW Subtrust DC,,,,01/27/2022,P,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC1,,MF,DC,01/13/2022,S,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC1,,MF,DC,01/13/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
