company,ticker,asset_type,owner_code,date,type,amount
Fidelity Brokerage ⇒,,,,03/22/2023,S,500001
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/22/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,04/25/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,04/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,05/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,06/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,07/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,08/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,09/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,10/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,11/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/24/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/22/2023,S,100001
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/24/2023,S,1001 - $15000
Morgan Stanley - Portfolio Management ⇒ JT,,,,01/31/2023,P,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/22/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,01/31/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/14/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/14/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,250001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,P,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/16/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/16/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,P,5000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,S,5000001
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/24/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/28/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,S,1001 - $15000
