company,ticker,asset_type,owner_code,date,type,amount
"Twitter, Inc. (TWTR) [ST]",,,,01/19/2022,P,15001 - $50000
"Twitter, Inc. (TWTR) [ST]",,,,01/24/2022,P,50001
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/21/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/14/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/21/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/19/2022,P,1001 - $15000
USAA - SEP IRA ⇒,,,,12/23/2022,P,1001 - $15000
WF - Investment - 1 ⇒,,,,10/31/2022,S,50001
