company,ticker,asset_type,owner_code,date,type,amount
Columbia Income Opp 529 PRT AG FBO DC2 [5F] DC,,,,08/18/2023,S,15001 - $50000
Columbia Income Opp 529 PRT AG FBO DC2 [5F] DC,,,,12/14/2023,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,04/20/2023,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 740 JT,,,,07/10/2023,S,15001 - $50000
DSL Living Trust ⇒ Fidelity Investments Brokerage Account ⇒ JT,,,,09/13/2023,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,05/12/2023,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/29/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/29/2023,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/29/2023,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/26/2023,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/15/2023,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/29/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/21/2023,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/27/2023,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/30/2023,P,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/12/2023,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/22/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/28/2023,P,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,05/24/2023,P,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/21/2023,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,08/22/2023,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,08/29/2023,S,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,12/28/2023,P,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,12/28/2023,P,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,10/18/2023,P,1001 - $15000
